,Suburb,Address,Rooms,Type,Price,Method,SellerG,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,lat,long,Regionname,Propertycount
808,Glen Iris,9 Summerhill Rd,3,h,1890000,S,J,3/06/2017,7.3,3146,3,1,2,554,169.0,1925,Boroondara City Council,-37.84949,145.07726,Southern Metropolitan,10412
809,Hawthorn East,18 Gillman St,3,h,1890000,PI,Marshall,18/06/2016,7.5,3123,3,1,2,477,173.0,1880,Boroondara City Council,-37.8257,145.0514,Southern Metropolitan,6482
810,Balwyn North,35 Sylvander St,4,h,1890000,S,Jellis,13/05/2017,9.2,3104,4,3,2,636,227.0,1960,Boroondara City Council,-37.789,145.0938,Southern Metropolitan,7809
811,Carnegie,22 Neville St,4,h,1880000,S,Private/Tiernan's,26/07/2016,11.4,3163,3,2,3,932,270.0,1970,Glen Eira City Council,-37.8975,145.0478,Southern Metropolitan,7822
812,Kew,8 Merrion Pl,3,h,1878000,SP,Jellis,10/09/2016,5.6,3101,3,2,1,392,426.0,2015,Boroondara City Council,-37.8081,145.0263,Southern Metropolitan,10331
813,Abbotsford,124 Yarra St,3,h,1876000,S,Nelson,7/05/2016,2.5,3067,4,2,0,245,210.0,1910,Yarra City Council,-37.8024,144.9993,Northern Metropolitan,4019
814,Hawthorn East,22 Caroline St,3,h,1875000,S,Jellis,3/06/2017,6.2,3123,3,2,1,282,141.0,1890,Boroondara City Council,-37.82911,145.04531,Southern Metropolitan,6482
815,Brighton,7 Chavasse St,3,h,1875000,S,Hodges,13/08/2016,11.2,3186,3,2,2,275,170.0,1991,Bayside City Council,-37.9153,144.9924,Southern Metropolitan,10579
816,Kew East,25 Minogue St,6,h,1875000,PI,Marshall,23/09/2017,7.3,3102,6,2,2,697,170.0,1962,Boroondara City Council,-37.79032,145.05408,Southern Metropolitan,2671
817,Elwood,32 Burns St,4,h,1875000,S,Pride,12/11/2016,7.7,3184,4,2,0,223,173.0,1910,Port Phillip City Council,-37.882,144.993,Southern Metropolitan,8989
818,East Melbourne,109 Simpson St,3,h,1875000,PI,Jellis,17/06/2017,1.3,3002,3,1,0,118,177.0,1890,Melbourne City Council,-37.81351,144.98803999999998,Northern Metropolitan,3040
819,Balwyn North,430 Balwyn Rd,5,h,1875000,PI,Fletchers,27/06/2016,9.2,3104,5,3,2,842,200.0,1961,Boroondara City Council,-37.7854,145.0869,Southern Metropolitan,7809
820,Brunswick,36 Charles St,4,h,1875000,S,Jellis,27/06/2016,5.2,3056,4,2,2,657,207.0,1958,Moreland City Council,-37.7725,144.964,Northern Metropolitan,11918
821,Parkdale,37 Bethell Av,4,h,1875000,S,Buxton,28/10/2017,21.5,3195,4,2,1,598,210.0,2016,Kingston City Council,-37.99017,145.07854,South-Eastern Metropolitan,5087
822,Elwood,53 Addison St,4,h,1875000,VB,Chisholm,27/06/2016,7.7,3184,3,3,0,235,211.0,2005,Port Phillip City Council,-37.8775,144.9808,Southern Metropolitan,8989
823,Box Hill,37 Thames St,4,h,1875000,S,RT,11/11/2017,10.9,3128,4,2,2,715,227.0,1930,Whitehorse City Council,-37.8142,145.1278,Eastern Metropolitan,4605
824,Ivanhoe East,10 Carmichael St,4,h,1875000,PI,Nelson,18/06/2016,9.0,3079,4,3,2,583,318.0,1975,Banyule City Council,-37.7719,145.0582,Eastern Metropolitan,1554
825,Armadale,28 Cambridge St,3,h,1870000,S,Hodges,4/03/2017,6.3,3143,3,1,1,217,116.0,1888,Stonnington City Council,-37.8592,145.0182,Southern Metropolitan,4836
826,Malvern East,17A Findon St,3,h,1870000,S,Jellis,19/11/2016,11.2,3145,3,2,1,400,152.0,1930,Stonnington City Council,-37.8718,145.0404,Southern Metropolitan,8801
827,Ashburton,37 Karnak Rd,3,h,1870000,SP,Marshall,28/10/2017,10.2,3147,3,1,2,689,159.0,1940,Boroondara City Council,-37.872859999999996,145.07412,Southern Metropolitan,3052
828,Yarraville,50 Tongue St,4,h,1870000,S,Sweeney,8/10/2016,7.0,3013,4,1,3,766,167.0,1968,Maribyrnong City Council,-37.8126,144.8905,Western Metropolitan,6543
829,Fitzroy North,171 Scotchmer St,4,h,1870000,S,Jellis,26/08/2017,3.6,3068,4,3,1,248,173.0,1890,Moreland City Council,-37.7833,144.98521000000002,Northern Metropolitan,6244
830,Camberwell,1 Westbourne Gr,4,h,1870000,S,Fletchers,7/10/2017,7.7,3124,4,3,0,588,189.0,1925,Boroondara City Council,-37.834109999999995,145.06916,Southern Metropolitan,8920
831,Doncaster,5 Arnold Gr,4,h,1868000,S,hockingstuart,7/05/2016,13.9,3108,3,2,2,925,218.0,1960,Manningham City Council,-37.7869,145.1183,Eastern Metropolitan,9028
832,Hawthorn East,66 Roseberry St,3,h,1865000,S,Jellis,4/03/2017,7.5,3123,3,2,2,431,120.0,1950,Boroondara City Council,-37.8269,145.0496,Southern Metropolitan,6482
833,Ivanhoe,3A Rose St,4,h,1865000,S,Miles,11/11/2017,7.8,3079,4,2,1,389,235.0,2000,Banyule City Council,-37.7743,145.0407,Eastern Metropolitan,5549
834,Glen Waverley,9 Alimar Rd,5,h,1863000,PI,Noel,25/11/2017,16.7,3150,5,2,2,790,238.0,1980,Monash City Council,-37.8842,145.1732,Eastern Metropolitan,15321
835,Toorak,3/716 Orrong Rd,3,u,1860000,S,Scott,12/08/2017,4.1,3142,3,2,2,0,176.0,1930,Stonnington City Council,-37.8404,145.01425,Southern Metropolitan,7217
836,Bentleigh,11 Wheatley Rd,4,h,1860000,PI,McGrath,12/11/2016,13.0,3204,4,2,3,855,197.0,1930,Glen Eira City Council,-37.9163,145.0324,Southern Metropolitan,6795
837,Ashburton,5 Taylor St,4,h,1860000,S,Jellis,27/11/2016,11.0,3147,4,2,3,696,274.0,2000,Boroondara City Council,-37.8711,145.0746,Southern Metropolitan,3052
838,Templestowe,19 Dena Ct,4,h,1860000,PI,Jellis,24/06/2017,15.5,3106,4,3,3,682,315.0,1995,Manningham City Council,-37.7572,145.15456,Eastern Metropolitan,6202
839,Hawthorn,5 Connell St,2,h,1857000,S,Jellis,12/08/2017,5.3,3122,2,1,1,230,116.65,1890,Boroondara City Council,-37.81813,145.02295,Southern Metropolitan,11308
840,Glen Iris,22 Kyarra Rd,4,h,1857000,S,Kay,25/02/2017,9.2,3146,4,2,3,548,205.0,1930,Boroondara City Council,-37.8536,145.0547,Southern Metropolitan,10412
841,Doncaster East,66 Saxonwood Dr,6,h,1856000,SP,Barry,1/07/2017,14.3,3109,6,3,3,1056,322.0,1970,Manningham City Council,-37.78053,145.15567,Eastern Metropolitan,10999
842,South Yarra,639 Punt Rd,4,h,1855500,S,Greg,8/07/2017,2.7,3141,4,2,1,176,216.0,1880,Melbourne City Council,-37.839859999999994,144.98598,Southern Metropolitan,14887
843,Hawthorn,5 Wattle Gr,3,h,1855000,S,Marshall,22/08/2016,4.6,3122,3,1,1,304,125.0,1900,Boroondara City Council,-37.8253,145.0287,Southern Metropolitan,11308
844,Fitzroy North,222 Rae St,3,h,1852000,S,Jellis,1/07/2017,3.6,3068,3,2,1,138,125.0,1900,Moreland City Council,-37.78714,144.97966,Northern Metropolitan,6244
845,Ivanhoe,3 Sylvan Ct,3,h,1851000,S,Jellis,13/05/2017,7.9,3079,3,2,2,618,215.0,1960,Banyule City Council,-37.7817,145.0391,Eastern Metropolitan,5549
846,Richmond,29 Westbank Tce,3,h,1850000,S,hockingstuart,22/08/2016,2.6,3121,2,2,1,203,112.0,1900,Yarra City Council,-37.8214,145.0132,Northern Metropolitan,14949
847,Albert Park,94 Graham St,3,h,1850000,S,Greg,4/03/2017,3.3,3206,3,2,0,128,133.0,1890,Port Phillip City Council,-37.8452,144.9488,Southern Metropolitan,3280
848,Doncaster,3 Maralee Pl,3,h,1850000,S,Jellis,7/11/2016,13.9,3108,3,1,2,1073,143.0,1960,Manningham City Council,-37.7772,145.1157,Eastern Metropolitan,9028
849,Gardenvale,85 Gardenvale Rd,4,h,1850000,VB,Marshall,21/10/2017,7.2,3185,4,2,2,696,152.0,1920,Glen Eira City Council,-37.89806,145.00816,Southern Metropolitan,534
850,Mount Waverley,15 Virginia St,3,h,1850000,PI,Jellis,8/07/2017,14.2,3149,3,1,1,717,153.0,1960,Monash City Council,-37.87754,145.12076000000002,Eastern Metropolitan,13366
851,Balwyn,142 Balwyn Rd,2,h,1850000,VB,Fletchers,6/08/2016,9.7,3103,3,1,1,1015,166.0,1930,Boroondara City Council,-37.8074,145.0826,Southern Metropolitan,5682
852,Brighton,157 North Rd,3,h,1850000,PI,Buxton,28/10/2017,10.5,3186,3,2,2,691,167.0,1930,Bayside City Council,-37.89946,145.00537,Southern Metropolitan,10579
853,Brighton,2A Hillcrest Av,4,h,1850000,VB,Jellis,19/08/2017,10.5,3186,4,3,3,421,170.0,2000,Bayside City Council,-37.90542,145.00603999999998,Southern Metropolitan,10579
854,Thornbury,82 Mansfield St,4,h,1850000,S,Nelson,10/02/2018,7.0,3071,4,1,4,746,190.0,1900,Darebin City Council,-37.75715,145.00692,Northern Metropolitan,8870
855,Kew East,23 Spruzen Av,4,h,1850000,VB,Jellis,14/10/2017,7.3,3102,4,2,2,583,202.0,1980,Boroondara City Council,-37.79437,145.03984,Southern Metropolitan,2671
856,Moonee Ponds,36 Aberfeldie St,3,h,1850000,SP,McDonald,3/06/2017,6.2,3039,3,2,2,596,203.0,1950,Moonee Valley City Council,-37.76086,144.90497,Western Metropolitan,6232
857,Moonee Ponds,36 Aberfeldie St,3,h,1850000,SP,McDonald,17/06/2017,6.2,3039,3,2,2,596,203.0,1950,Moonee Valley City Council,-37.76086,144.90497,Western Metropolitan,6232
858,Beaumaris,16A Coronet Gr,3,t,1850000,PI,McGrath,22/07/2017,17.3,3193,3,3,2,252,203.0,2007,Bayside City Council,-37.98453,145.02659,Southern Metropolitan,5366
859,Melbourne,601/616 Little Collins St,4,u,1850000,VB,hockingstuart,8/04/2017,2.8,3000,4,2,1,0,213.0,1938,Melbourne City Council,-37.8177,144.9544,Northern Metropolitan,17496
860,Canterbury,12a View St,3,h,1850000,PI,Marshall,26/07/2016,9.0,3126,3,2,2,361,216.0,1995,Boroondara City Council,-37.8206,145.0785,Southern Metropolitan,3265
861,Ivanhoe,32 Ailsa Gr,3,h,1850000,S,Miles,18/03/2017,7.9,3079,3,2,2,684,232.0,2000,Banyule City Council,-37.7659,145.0392,Eastern Metropolitan,5549
862,Balwyn North,5 Carrington St,4,h,1850000,VB,Jellis,7/11/2016,9.2,3104,4,2,2,619,254.0,1990,Boroondara City Council,-37.8025,145.0843,Southern Metropolitan,7809
863,Balwyn North,67 Winfield Rd,4,h,1850000,SA,Fletchers,22/07/2017,9.7,3104,4,4,3,929,266.0,1960,Boroondara City Council,-37.79497,145.10538,Southern Metropolitan,7809
864,Brighton East,4 Marriage Rd,4,h,1850000,S,Nick,3/09/2016,10.7,3187,4,2,2,617,268.0,1940,Bayside City Council,-37.9187,145.007,Southern Metropolitan,6938
865,Ascot Vale,44 The Parade,4,h,1850000,S,Brad,4/03/2017,5.9,3032,4,3,1,478,270.0,1900,Moonee Valley City Council,-37.7729,144.9179,Western Metropolitan,6567
866,Blackburn,27 Gerald St,4,h,1850000,VB,Noel,16/09/2017,13.4,3130,4,2,2,628,287.0,2012,Whitehorse City Council,-37.82942,145.16714,Eastern Metropolitan,5713
867,Surrey Hills,3 Olyve Ct,4,h,1850000,VB,Marshall,16/04/2016,11.2,3127,5,2,2,612,292.0,1970,Boroondara City Council,-37.8345,145.1009,Southern Metropolitan,5457
868,Edithvale,91 Edithvale Rd,6,h,1850000,S,O'Brien,27/05/2017,27.0,3196,6,4,4,840,547.0,2011,Kingston City Council,-38.03548,145.11763,South-Eastern Metropolitan,2546
869,Strathmore,4 Collegian Av,3,h,1848000,S,McDonald,26/08/2017,8.2,3041,3,1,3,824,189.0,1935,Moonee Valley City Council,-37.737970000000004,144.92455,Western Metropolitan,3284
870,Glen Iris,11 Kenilworth Gr,3,h,1845000,S,Jellis,18/11/2017,7.3,3146,3,2,4,1021,135.0,1970,Boroondara City Council,-37.8528,145.0487,Southern Metropolitan,10412
871,Brighton East,4 Farmer St,2,h,1845000,S,Buxton,15/10/2016,10.7,3187,2,1,2,604,145.0,1950,Bayside City Council,-37.9268,145.0094,Southern Metropolitan,6938
872,Ormond,58 Draper St,4,h,1845000,S,Buxton,15/10/2016,11.8,3204,4,3,1,718,189.0,1939,Glen Eira City Council,-37.9061,145.0509,Southern Metropolitan,3578
873,Port Melbourne,1 Princes Pl,3,h,1845000,S,Greg,9/09/2017,3.5,3207,3,3,2,114,240.0,2009,Melbourne City Council,-37.83981,144.9364,Southern Metropolitan,8648
874,Carnegie,55 Tranmere Av,3,h,1840000,S,Ray,15/07/2017,10.1,3163,3,2,1,483,171.0,1920,Glen Eira City Council,-37.89204,145.06086000000002,Southern Metropolitan,7822
875,Oakleigh,110 Atkinson St,4,h,1840000,S,Woodards,29/04/2017,14.0,3166,4,2,2,598,222.0,1900,Monash City Council,-37.898,145.0928,Southern Metropolitan,3224
876,Mount Waverley,17 Huntingtower Cr,6,h,1840000,S,Jellis,26/08/2017,14.2,3149,6,2,2,554,368.0,1999,Monash City Council,-37.87591,145.13958,Eastern Metropolitan,13366
877,Burnley,2a Cherrill St,3,h,1837500,S,Jellis,27/05/2017,2.4,3121,3,2,1,93,164.0,2014,Yarra City Council,-37.829209999999996,145.00826,Northern Metropolitan,438
878,Malvern East,38 MacGregor St,3,h,1837000,S,Marshall,6/08/2016,11.2,3145,4,2,1,769,196.0,1920,Stonnington City Council,-37.8799,145.0552,Southern Metropolitan,8801
879,Surrey Hills,33 Ross St,4,h,1835000,SP,Jellis,28/05/2016,11.2,3127,4,2,2,619,185.0,1930,Boroondara City Council,-37.8171,145.0934,Southern Metropolitan,5457
880,Alphington,10 Bennett St,4,h,1830000,S,Nelson,19/11/2016,6.4,3078,4,2,2,606,112.0,1970,Darebin City Council,-37.7743,145.0316,Northern Metropolitan,2211
881,Elwood,32 Milton St,3,h,1830000,S,Chisholm,28/05/2016,7.7,3184,3,2,2,374,162.0,1925,Port Phillip City Council,-37.8747,144.987,Southern Metropolitan,8989
882,Ashburton,4 Vears Rd,3,h,1830000,S,Jellis,25/02/2017,11.0,3147,3,2,3,724,168.0,1940,Boroondara City Council,-37.8619,145.0879,Southern Metropolitan,3052
883,Bonbeach,16B Newberry Av,4,t,1830000,S,hockingstuart,16/09/2017,27.0,3196,4,3,2,353,222.0,2004,Kingston City Council,-38.061890000000005,145.11766,South-Eastern Metropolitan,2887
884,Carnegie,4 Vine Gr,4,h,1830000,S,Gary,10/09/2016,11.4,3163,3,2,2,687,237.0,1983,Glen Eira City Council,-37.8931,145.0479,Southern Metropolitan,7822
885,Bulleen,5 Penderel Wy,4,h,1830000,SP,Jellis,28/10/2017,10.8,3105,4,3,2,700,350.0,1998,Manningham City Council,-37.76125,145.09478000000001,Eastern Metropolitan,4480
886,Aberfeldie,10 Caroline St,5,h,1830000,S,Rendina,23/09/2017,7.5,3040,5,4,4,730,373.0,2014,Moonee Valley City Council,-37.7595,144.89427,Western Metropolitan,1543
887,Oakleigh,175 Atherton Rd,5,h,1828000,PI,Ray,14/10/2017,12.3,3166,5,3,4,667,337.0,2017,Monash City Council,-37.90037,145.10281,Southern Metropolitan,3224
888,Glen Iris,27 Sunhill Rd,4,h,1825000,S,RT,17/09/2016,9.2,3146,3,3,2,366,26.0,1999,Boroondara City Council,-37.8503,145.0586,Southern Metropolitan,10412
889,Hawthorn East,66 Roseberry St,3,h,1825000,S,Jellis,17/09/2016,7.5,3123,3,2,2,431,120.0,1950,Boroondara City Council,-37.8269,145.0496,Southern Metropolitan,6482
890,South Melbourne,296 Albert Rd,3,h,1825000,S,Marshall,18/06/2016,2.1,3205,3,2,2,151,153.0,1900,Port Phillip City Council,-37.8383,144.9632,Southern Metropolitan,5943
891,Balwyn North,6 Stuart Ct,4,h,1825000,S,Fletchers,4/03/2017,9.2,3104,4,2,3,736,225.0,1958,Boroondara City Council,-37.7944,145.1028,Southern Metropolitan,7809
892,Aberfeldie,2 Knight St,5,h,1825000,VB,Nelson,18/11/2017,7.5,3040,5,2,2,691,301.0,1925,Moonee Valley City Council,-37.756,144.9002,Western Metropolitan,1543
893,Brighton East,12 Meyer Ct,4,h,1825000,PI,Buxton,4/06/2016,10.7,3187,4,3,2,594,594.0,1973,Bayside City Council,-37.9029,145.0118,Southern Metropolitan,6938
894,Box Hill,6 Parkside Av,2,h,1820000,SP,Buxton,3/09/2017,10.9,3128,2,1,2,701,94.0,1940,Whitehorse City Council,-37.82756,145.11897,Eastern Metropolitan,4605
895,South Melbourne,27 Lyell St,3,h,1820000,S,WHITEFOX,13/05/2017,2.1,3205,3,1,1,204,105.0,1910,Port Phillip City Council,-37.8365,144.9497,Southern Metropolitan,5943
896,Glen Iris,56 Brandon St,3,h,1820000,S,Jellis,12/11/2016,9.2,3146,3,1,3,650,136.0,1930,Boroondara City Council,-37.8571,145.0766,Southern Metropolitan,10412
897,Port Melbourne,255 Ross St,4,h,1820000,S,Marshall,7/11/2016,3.8,3207,4,2,1,212,158.0,1900,Melbourne City Council,-37.8331,144.9412,Southern Metropolitan,8648
898,Mount Waverley,14 Wingate Av,1,h,1820000,SP,LLC,4/11/2017,14.2,3149,1,1,1,919,158.0,2017,Monash City Council,-37.8809,145.1436,Eastern Metropolitan,13366
899,McKinnon,28 Lewis St,4,h,1820000,S,Hodges,6/01/2018,11.4,3204,4,2,2,655,204.0,1930,Glen Eira City Council,-37.90898,145.04629,Southern Metropolitan,2397
900,Newport,7 Clyde St,5,h,1820000,SP,Sweeney,13/05/2017,8.4,3015,5,2,7,760,229.0,1935,Hobsons Bay City Council,-37.8437,144.865,Western Metropolitan,5498
901,Northcote,4 Clifton St,5,h,1820000,SP,hockingstuart,28/05/2016,5.5,3070,5,3,2,344,230.0,1939,Darebin City Council,-37.7677,145.0085,Northern Metropolitan,11364
902,Murrumbeena,6 Gerald St,4,h,1820000,S,Buxton,8/07/2017,10.1,3163,4,2,1,632,265.0,1915,Glen Eira City Council,-37.89465,145.06984,Southern Metropolitan,4442
903,Brunswick,5 McPherson St,4,h,1820000,PI,Jellis,16/09/2017,5.2,3056,4,2,2,317,288.0,2017,Moreland City Council,-37.75792,144.97218,Northern Metropolitan,11918
904,Hampton,15 May St,4,h,1820000,PI,Follett,16/09/2017,13.8,3188,4,2,2,412,423.0,1940,Bayside City Council,-37.93598,145.01152,Southern Metropolitan,5454
905,Highett,33 Haynes St,4,h,1820000,S,hockingstuart,8/07/2017,16.0,3190,4,2,2,680,680.0,2006,Bayside City Council,-37.94882,145.03111,Southern Metropolitan,4794
906,Balaclava,18 Linton St,4,h,1819000,S,Gary,3/09/2016,6.6,3183,3,2,1,244,180.0,1900,Port Phillip City Council,-37.8668,144.9928,Southern Metropolitan,2952
907,Balwyn North,54 Sutton St,3,h,1818000,S,Fletchers,15/10/2016,9.2,3104,3,1,1,722,90.0,1930,Boroondara City Council,-37.7956,145.0829,Southern Metropolitan,7809
908,Eaglemont,27 Glen Dr,3,h,1816000,S,Nelson,12/11/2016,10.3,3084,3,1,2,846,180.0,1955,Banyule City Council,-37.7666,145.0591,Eastern Metropolitan,1651
909,Bentleigh East,12 Kennedy St,4,h,1815000,S,hockingstuart,24/06/2017,13.8,3165,4,3,2,933,107.0,1960,Glen Eira City Council,-37.919540000000005,145.07637,Southern Metropolitan,10969
910,Yarraville,47 Bayview Rd,5,h,1815000,S,Village,8/10/2016,7.0,3013,5,2,2,644,172.0,1890,Maribyrnong City Council,-37.8102,144.8857,Western Metropolitan,6543
911,Burwood,362 Burwood Hwy,2,h,1815000,S,Lindellas,20/05/2017,11.7,3125,1,1,1,698,196.0,1960,Monash City Council,-37.8518,145.1278,Southern Metropolitan,5678
912,Brunswick East,94 Barkly St,4,h,1815000,S,Nelson,6/08/2016,4.5,3057,4,1,1,233,204.0,1890,Moreland City Council,-37.7776,144.9727,Northern Metropolitan,5533
913,Mont Albert,6 Serpentine St,5,h,1815000,S,Jellis,19/11/2016,11.8,3127,5,1,0,711,207.0,1950,Boroondara City Council,-37.8195,145.1134,Eastern Metropolitan,2079
914,Bentleigh,112 Tucker Rd,4,h,1815000,S,Buxton,10/12/2016,13.0,3204,4,2,4,902,233.0,1950,Glen Eira City Council,-37.924,145.0504,Southern Metropolitan,6795
915,Brighton East,11 Summerhill Rd,2,h,1813000,S,Buxton,27/11/2016,10.7,3187,2,1,2,660,117.0,1930,Bayside City Council,-37.9179,145.0127,Southern Metropolitan,6938
916,Surrey Hills,63 Shepherd St,4,h,1812500,S,Marshall,8/10/2016,11.2,3127,4,2,2,715,230.0,1920,Boroondara City Council,-37.8325,145.1114,Southern Metropolitan,5457
917,Prahran,3 Arkle St,3,h,1811000,S,Biggin,22/08/2016,4.5,3181,3,2,1,273,125.0,1890,Stonnington City Council,-37.8544,145.0038,Southern Metropolitan,7717
918,Essendon,18 Washington St,5,h,1811000,S,Nelson,27/11/2016,8.0,3040,5,3,2,657,284.0,1930,Moonee Valley City Council,-37.7548,144.9098,Western Metropolitan,9264
919,South Yarra,37 Grosvenor St,3,h,1810000,S,hockingstuart,18/06/2016,3.3,3141,3,1,1,211,18.0,1906,Melbourne City Council,-37.8442,144.9928,Southern Metropolitan,14887
920,Surrey Hills,29 Essex Rd,4,h,1810000,S,Garvey,16/09/2017,10.2,3127,4,3,2,349,223.0,1997,Boroondara City Council,-37.82832,145.09242,Southern Metropolitan,5457
921,Doncaster,7 Botanic Dr,4,h,1810000,S,Jellis,28/05/2016,13.9,3108,4,2,4,769,240.0,1970,Manningham City Council,-37.7781,145.1337,Eastern Metropolitan,9028
922,Parkville,92 Fitzgibbon St,2,h,1805000,S,Collins,8/10/2016,2.6,3052,2,1,1,187,102.0,1890,Melbourne City Council,-37.7939,144.9572,Northern Metropolitan,2309
923,Williamstown,71 Hannan St,4,h,1805000,S,Greg,16/04/2016,8.0,3016,3,2,2,466,160.0,1930,Hobsons Bay City Council,-37.8621,144.8872,Western Metropolitan,6380
924,Hampton,42 Myrtle Rd,5,h,1805000,S,Buxton,10/09/2016,13.7,3188,4,2,2,700,224.0,1950,Bayside City Council,-37.9419,145.0156,Southern Metropolitan,5454
925,Brunswick,9 Blair St,4,h,1802500,S,Jellis,3/12/2016,5.2,3056,4,3,1,238,93.0,1910,Moreland City Council,-37.7713,144.9643,Northern Metropolitan,11918
926,South Melbourne,426 Dorcas St,4,h,1800000,VB,Greg,12/08/2017,1.9,3205,4,3,1,153,93.0,1900,Port Phillip City Council,-37.83591,144.94963,Southern Metropolitan,5943
927,Hawthorn,31 Smart St,2,h,1800000,S,Jellis,13/05/2017,4.6,3122,2,1,0,221,106.0,1900,Boroondara City Council,-37.8163,145.0251,Southern Metropolitan,11308
928,Fairfield,9 Rushall St,3,h,1800000,SP,Jellis,29/07/2017,5.7,3078,3,1,2,697,112.0,1925,Darebin City Council,-37.77662,145.02288000000001,Northern Metropolitan,2970
929,Armadale,3 Northcote Rd,3,h,1800000,VB,Jellis,28/10/2017,6.3,3143,3,2,1,167,117.0,1910,Stonnington City Council,-37.854690000000005,145.01826,Southern Metropolitan,4836
930,Armadale,791 High St,3,h,1800000,PI,RT,15/10/2016,6.3,3143,3,2,2,405,121.0,1910,Stonnington City Council,-37.8545,145.0145,Southern Metropolitan,4836
931,Albert Park,24 Kerferd Pl,3,h,1800000,S,Marshall,10/09/2016,3.3,3206,3,2,1,90,122.0,1900,Port Phillip City Council,-37.8421,144.9571,Southern Metropolitan,3280
932,Malvern East,49 Tennyson St,3,h,1800000,PI,Jellis,19/08/2017,8.4,3145,3,2,1,460,123.0,1910,Stonnington City Council,-37.872409999999995,145.05103,Southern Metropolitan,8801
933,Glen Iris,10 Morell St,3,h,1800000,SP,Jellis,8/04/2017,9.2,3146,3,1,3,732,138.0,1950,Boroondara City Council,-37.8562,145.0864,Southern Metropolitan,10412
934,Kew,26 Queen St,3,h,1800000,PI,Jellis,28/08/2016,5.6,3101,4,2,1,336,139.0,1910,Boroondara City Council,-37.8074,145.0318,Southern Metropolitan,10331
935,Mentone,34 Mundy St,4,h,1800000,S,Chisholm,14/10/2017,20.0,3194,4,3,2,741,141.0,1935,Kingston City Council,-37.9839,145.05638000000002,South-Eastern Metropolitan,6162
936,Hawthorn,466 Auburn Rd,4,h,1800000,SP,Noel,22/08/2016,4.6,3122,3,2,4,601,158.0,1940,Boroondara City Council,-37.839,145.0418,Southern Metropolitan,11308
937,Albert Park,1 Moubray St,3,h,1800000,VB,Greg,7/11/2016,3.3,3206,3,2,1,132,159.0,1996,Port Phillip City Council,-37.8415,144.952,Southern Metropolitan,3280
938,Balwyn North,41 Helston St,4,h,1800000,VB,Fletchers/One,10/12/2016,9.2,3104,4,2,4,587,165.0,1960,Boroondara City Council,-37.7841,145.0953,Southern Metropolitan,7809
939,Williamstown,9 Gellibrand St,3,h,1800000,SP,Barlow,11/11/2017,6.8,3016,3,1,2,451,170.0,1930,Hobsons Bay City Council,-37.8662,144.8912,Western Metropolitan,6380
940,Brunswick,177 Barkly St,4,h,1800000,VB,Nelson,15/10/2016,5.2,3056,4,2,3,271,180.0,1900,Moreland City Council,-37.7769,144.9691,Northern Metropolitan,11918
941,Elsternwick,21 Liscard St,3,h,1800000,S,Biggin,16/04/2016,8.5,3185,3,2,2,492,181.0,1905,Glen Eira City Council,-37.8789,145.0048,Southern Metropolitan,4898
942,Hampton,15 Avelin St,4,h,1800000,S,RT,28/05/2016,13.7,3188,4,2,1,667,184.0,1935,Bayside City Council,-37.9315,145.0109,Southern Metropolitan,5454
943,Elwood,105 Mitford St,3,h,1800000,VB,Gary,24/06/2017,7.2,3184,3,2,2,188,185.0,2010,Port Phillip City Council,-37.87818,144.98532,Southern Metropolitan,8989
944,Kew,21 Grandview Tce,4,h,1800000,VB,Kay,17/09/2016,5.6,3101,5,2,2,586,187.0,1940,Boroondara City Council,-37.7933,145.0343,Southern Metropolitan,10331
945,Richmond,46 Park Gr,4,h,1800000,PI,Biggin,24/09/2016,2.6,3121,4,2,0,288,193.0,1900,Yarra City Council,-37.8268,145.0129,Northern Metropolitan,14949
946,Cheltenham,49 Argus St,3,h,1800000,VB,Hodges,9/12/2017,17.9,3192,3,2,4,1231,198.0,1967,Bayside City Council,-37.95867,145.06315,Southern Metropolitan,9758
947,Balwyn,13 Naroo St,4,h,1800000,PI,Jellis,8/10/2016,9.7,3103,3,2,2,577,200.0,1948,Boroondara City Council,-37.8032,145.0693,Southern Metropolitan,5682
948,Ashburton,63 Dent St,4,h,1800000,S,Jellis,25/02/2017,11.0,3147,4,2,4,749,206.0,1950,Boroondara City Council,-37.8669,145.077,Southern Metropolitan,3052
949,Camberwell,5 Cooloongatta Rd,3,h,1800000,SP,Marshall,16/04/2016,7.8,3124,3,2,0,584,213.0,1920,Boroondara City Council,-37.8349,145.0758,Southern Metropolitan,8920
950,Essendon,55 Richardson St,4,h,1800000,S,Nelson,4/06/2016,8.0,3040,3,2,2,648,215.0,1910,Moonee Valley City Council,-37.7493,144.9112,Western Metropolitan,9264
951,Glen Iris,28 Alfred Rd,4,h,1800000,VB,Marshall,3/12/2016,9.2,3146,4,2,2,868,217.0,1930,Boroondara City Council,-37.8522,145.0893,Southern Metropolitan,10412
952,Balwyn,36 Narrak Rd,4,h,1800000,VB,Marshall,3/09/2016,9.7,3103,4,2,2,715,218.0,1985,Boroondara City Council,-37.811,145.0958,Southern Metropolitan,5682
953,Ascot Vale,4 Hunt Cr,4,h,1800000,PI,Raine,9/12/2017,4.3,3032,4,3,2,561,241.0,1950,Moonee Valley City Council,-37.77274,144.90328,Western Metropolitan,6567
